DVM,AP_VAT_CODE,
EBS_VALUE,FUSION_VALUE
1,1
0000OUTSCOPE,0000OUTSCOPE
GT,GT
N,N
O/Scope VAT,O/Scope VAT
Standard,Standard
Standard VAT,Standard VAT
T,T
s,s
