DVM,RA_TAX_CLASS_CODE,
EBS_VALUE,FUSION_VALUE
0000OUTSCOPE,OUTSIDE SCOPE
0002EXEMPT,EXEMPT
0002STANDARD,STANDARD
0031EXEMPT,EXEMPT
0031STANDARD,STANDARD
0070EXEMPT,EXEMPT
0070ZERO,ZERO
0091EXEMPT,EXEMPT
0091ZERO,ZERO
e,EXEMPT
E,EXEMPT
L,LOWER
N,NON BUSINESS
n,NON BUSINESS
N1,NON BUSINESS
Q,OUTSIDE SCOPE
Q1,OUTSIDE SCOPE
S,STANDARD
Standard,STANDARD
Z,ZERO
Zero,ZERO
