DVM,AP_PAYMENT_METHOD_CODE,
EBS_VALUE,FUSION_VALUE
ACH,ACH
BACS,BACS
B,B
CHECK,CHECK
CHEQUE,CHEQUE
CLEARING,CLEARING
Comcheck,Comcheck
EFT,EFT
ELECTRONIC,ELECTRONIC
WIRE,WIRE
