DVM,RA_RECEIPT_METHOD,
EBS_VALUE,FUSION_VALUE
ACH,ACH
Check - BofA,Check - BofA
Fed Std Method,Fed Std Method
Itau,Itau
Manual,Manual
Public Services Man. Receipt,Public Services Man. Receipt
"Receipt - Int'l","Receipt - Int'l"
SSC Manual,SSC Manual
SSC Manual I/C 003 Matched,SSC Manual I/C 003 Matched
SSC Manual I/C 101 Matched,SSC Manual I/C 101 Matched
SSC Manual I/C 102,SSC Manual I/C 102
SSC Manual I/C 102 Matched,SSC Manual I/C 102 Matched
