DVM,SMBC_ASSIGNMENT_CATGORY,,smbc_assignment_catgory
EBS_ASSIGNMENT_CAT,FUSION_ASSIGNMENT_CAT
XXCAS,CAS
FR,FR
FT,FT
PR,PR
PT,PT
XXNOOCCBEN,
