DVM,HZ_STANDARD_TERM_NAME,
EBS_VALUE,FUSION_VALUE
xDirect Debit,xDirect Debit
28 DAYS,28 DAYS
IMMEDIATE,IMMEDIATE
21 DAYS,21 DAYS
Direct Debit,Direct Debit
14 DAYS,14 DAYS
